epoch,train_loss,val_loss,Precision,Recall,F1 Score,Instance Recall,Normal Region FP,FP Score,FROC Score
1,184.03996946373763,543.2096901291893,0.0025853761721722946,0.0185029436470138,0.004536615692792811,0.018502943650126155,62.36524822695036,37.63475177304964,0.0030360195141922986
2,36.39255586448981,65.50831015223548,0.0015847860530455434,0.0005046257358276491,0.0007651352068585781,0.0005046257359125315,1.7836879432624113,98.21631205673759,0.0015823758862379567
3,7.715488886346622,17.881393312840235,0.0015163002262954509,0.00033641715721843276,0.0005503637352995606,0.000336417157275021,0.041371158392434985,99.95862884160756,0.000662504563030846
4,3.6448210076409944,4.469352348645528,0.0,0.0,0.0,0.0,0.0,100.0,0.0001253030248815066
5,1.9105053848149824,3.090199899105799,0.006984512600369113,0.003868797308011977,0.00497897402545036,0.003868797308662742,0.02955082742316785,99.97044917257683,0.0042235382453330375
6,1.4696764319526905,1.6846811095873515,0.007972270361188121,0.003868797308011977,0.005209073107362979,0.003868797308662742,0.014184397163120567,99.98581560283688,0.003914900574469246
7,1.2543290260494973,1.1495059024719965,0.04721634952529375,0.022539949533634994,0.0305130545460115,0.02253994953742641,0.01773049645390071,99.98226950354609,0.022590908599853212
8,1.0187357034610243,1.162467445362182,0.1659109095316322,0.10462573589493258,0.12832632572938613,0.10462573591253153,0.03546099290780142,99.9645390070922,0.10468430933729535
9,0.9345166455118024,1.355599264445759,0.1760563379917033,0.14297729181783392,0.15780141755008356,0.14297729184188393,0.07919621749408984,99.92080378250591,0.14297729184188393
10,0.8563121532907292,1.024329924583435,0.4117498738245714,0.2746846088688503,0.3295323621993659,0.2746846089150547,0.041371158392434985,99.95862884160756,0.27575506795042304
11,0.757969328943564,1.6563730634394147,0.3663784821582366,0.32077375940777564,0.34206228244144105,0.32077375946173253,0.10638297872340426,99.8936170212766,0.32097490807488893
12,0.707041467178841,1.2772204301186971,0.294714587675536,0.23448275858124762,0.2611704666410129,0.23448275862068965,0.10520094562647754,99.89479905437352,0.23448275862068965
13,0.6894450943384852,1.0601991817355156,0.3302443133255593,0.2637510512592513,0.2932754811758284,0.2637510513036165,0.0508274231678487,99.94917257683215,0.2637510513036165
14,0.5815806188145463,1.0013897179847673,0.25844930411785966,0.19680403697278318,0.22345252671816387,0.1968040370058873,0.05555555555555555,99.94444444444444,0.1968040370058873
15,0.5299487837723323,0.9518224521761849,0.2871369293811516,0.1746005045963666,0.21715434139444217,0.17460050462573593,0.037825059101654845,99.96217494089835,0.17724647473407326
16,0.4923445106464989,0.9972972639259838,0.44545218957101523,0.28915054662924294,0.3506727172149243,0.2891505466778806,0.041371158392434985,99.95862884160756,0.2900624986126492
17,0.4770014246507567,1.1119517226659117,0.45315571075493427,0.349032800614124,0.3943362624728739,0.3490328006728343,0.05555555555555555,99.94444444444444,0.3504486345190942
18,0.42826478897917025,1.1114174712981497,0.42707089987417735,0.3009251471318881,0.3530683920260342,0.3009251471825063,0.054373522458628844,99.94562647754137,0.30244932041912226
19,0.41660900733300615,1.335429420144785,0.5292535304798803,0.39714045409635984,0.45377617743305493,0.39714045416316235,0.0508274231678487,99.94917257683215,0.4000672276408817
