epoch,train_loss,val_loss,Precision,Recall,F1 Score,Instance Recall,Normal Region FP,FP Score,FROC Score
1,304.93216208864055,2462.5469596650864,0.0008143093813828009,0.005949938447691846,0.0014323468464534292,0.005949938448912597,42.28250591016548,57.71749408983452,0.0014700806170006109
2,64.83515705446307,199.17678131840447,0.0035909920874259895,0.012105047186683413,0.005538513079856649,0.01210504718916701,16.321513002364068,83.67848699763593,0.006934822791153768
3,12.967020351920972,35.18461665179994,0.0,0.0,0.0,0.0,0.0,100.0,0.0
4,3.7022649768436926,7.580768396156003,0.0,0.0,0.0,0.0,0.0,100.0,0.0007954600277934842
5,2.105707547311007,3.9311499138071078,0.0,0.0,0.0,0.0,0.001182033096926714,99.99881796690308,0.00021247954059826104
6,1.6671947406239487,3.1893566383255854,0.0018058690736768087,0.0008206811651988754,0.0011280794664652765,0.0008206811653672548,0.10401891252955082,99.89598108747045,0.0008206811653672548
7,1.43492277929087,1.2792439469785402,0.2687338494347963,0.02133771029517076,0.03953607354086634,0.021337710299548625,0.001182033096926714,99.99881796690308,0.03548980143288641
8,1.2988919607189853,1.6864183542102273,0.06188466946219841,0.04513746408593815,0.0522002477977373,0.04513746409519902,0.05319148936170213,99.94680851063829,0.045745620572667754
9,1.190117209151601,1.3382711612214946,0.09427710840533822,0.064218301176812,0.07639688190228472,0.06421830118998768,0.057919621749408984,99.9420803782506,0.0645415287203244
10,1.1014477234137685,1.0862574085141674,0.16610312757138498,0.0806319244807895,0.1085630958979326,0.08063192449733278,0.01182033096926714,99.98817966903073,0.08291890117588242
11,1.0855041363022544,1.3460312616644483,0.26210045656116426,0.23553549441207722,0.2481084272689211,0.23553549446040214,0.08156028368794327,99.91843971631205,0.23770233412272093
12,0.9852586850595246,0.8413257577804604,0.18841660447715222,0.1555190808051869,0.17039401956182865,0.1555190808370948,0.030732860520094562,99.96926713947991,0.15755319158087797
13,0.954673887439892,0.7878354959415667,0.16399286980214223,0.07550266719829653,0.10339939966047657,0.07550266721378744,0.008274231678486997,99.99172576832152,0.07796835644567064
