epoch,train_loss,val_loss,Precision,Recall,F1 Score,Instance Recall,Normal Region FP,FP Score,FROC Score
1,175.1497086408187,673.7100451560248,0.023862129915287477,0.12716568542856757,0.04018364442090118,0.12716568544995796,38.6371158392435,61.3628841607565,0.03561219563374202
2,43.24560706956046,121.01055874483926,0.0,0.0,0.0,0.0,3.7990543735224587,96.20094562647755,8.554249050250996e-05
3,9.577663813318525,16.497681575729732,0.0,0.0,0.0,0.0,0.0,100.0,0.0
4,3.26122255532109,5.804542709532238,0.0,0.0,0.0,0.0,0.0,100.0,0.00011217328029297343
5,2.0705581514202818,2.9587952324322293,0.0,0.0,0.0,0.0,0.0035460992907801418,99.99645390070921,0.0
6,1.7079792132182998,1.8286347077006386,0.0,0.0,0.0,0.0,0.0,100.0,0.0009041479821175537
7,1.4283045597222386,1.2519340271041506,0.02760590193831228,0.00975609755933455,0.014416715797886271,0.00975609756097561,0.0,100.0,0.003690760963308334
8,1.2981754787722413,1.2594513192063286,0.01602661021589761,0.008915054666288467,0.011456522940137843,0.008915054667788058,0.01773049645390071,99.98226950354609,0.008976848103362495
9,1.1920270192988065,1.2342433997562954,0.019685962029602537,0.014129520603174175,0.01645074735526818,0.014129520605550883,0.05200945626477541,99.94799054373523,0.014129520605550882
10,1.082417874007809,0.9496230456091109,0.184696569866697,0.10597140452380632,0.13467247381758857,0.10597140454163162,0.02364066193853428,99.97635933806147,0.10745745449746286
11,0.9616424091616456,0.8510117341365133,0.05990990988292347,0.02237174095502578,0.03257768122574157,0.022371740958788897,0.015366430260047281,99.98463356973996,0.022371740958788897
12,0.9788077808156306,1.486118697446017,0.31695373179382746,0.3157275020494991,0.31633892864374547,0.31572750210260725,0.10047281323877069,99.89952718676123,0.3160281794955652
13,0.8623306742128061,0.8298726604098365,0.18082191774629386,0.08881412950566625,0.11911969357079585,0.08881412952060555,0.015366430260047281,99.98463356973996,0.08898233809924307
14,0.7734149723332755,0.8160309756085986,0.2907709011312115,0.22523128675774073,0.25383837060244024,0.22523128679562657,0.016548463356973995,99.98345153664303,0.22523128679562657
15,0.7398505131809079,0.9362048457066218,0.3006007393020793,0.21883936077059052,0.2532848233735621,0.21883936080740118,0.027186761229314422,99.97281323877068,0.21893318361481226
16,0.6905087717637723,0.8259855142661503,0.26415094333617845,0.19545836834390942,0.22467081818618,0.1954583683767872,0.031914893617021274,99.96808510638297,0.19562657695542474
17,0.6434532108963752,0.7926565838711602,0.3338264298979718,0.22775441543687897,0.2707724405195504,0.22775441547518924,0.016548463356973995,99.98345153664303,0.2279637263237965
18,0.6102748571001754,0.9938580174531255,0.34441205046755835,0.29806560129553145,0.3195666802113474,0.2980656013456686,0.054373522458628844,99.94562647754137,0.2982049087937188
19,0.5844586456612665,0.8193913784410273,0.1324366269703992,0.08612279224791879,0.1043721653952009,0.08612279226240538,0.018912529550827423,99.98108747044917,0.08612279226240538
20,0.5166975886237865,1.063455011943976,0.34534019433098145,0.3047939444399001,0.32380221814246757,0.30479394449116903,0.04964539007092199,99.95035460992908,0.30519538746003455
21,0.5035675715427009,0.7705352979756537,0.39149050029663085,0.24608915050528357,0.3022098131041579,0.24608915054667788,0.01773049645390071,99.98226950354609,0.246225115822712
22,0.46994285460333435,0.8281156513307776,0.416883680465086,0.32312867950830465,0.36406659791886425,0.3231286795626577,0.02127659574468085,99.97872340425532,0.3239360293001855
23,0.4441291809234084,0.8775553135290033,0.40812720839043126,0.3108494532698319,0.3529069854878738,0.31084945332211944,0.016548463356973995,99.98345153664303,0.3122934019417788
24,0.4291097950570437,1.0098251568774381,0.4789303078446251,0.3976450798321875,0.434518390391889,0.3976450798990748,0.03309692671394799,99.96690307328605,0.40151387720773757
25,0.40768506970940804,1.0302510077754656,0.4787401573860747,0.40908326317761423,0.4411786413603717,0.4090832632464256,0.054373522458628844,99.94562647754137,0.41429376263497186
26,0.3837728477558311,1.298658469408041,0.5122208544905538,0.4899915894886473,0.5008591975899405,0.48999158957106814,0.03664302600472813,99.96335697399527,0.505130361648444
27,0.37440261776958195,0.9051740822692712,0.5593680571317284,0.3811606391284843,0.45338087044671016,0.38116063919259885,0.02009456264775414,99.97990543735224,0.39125315391084947
28,0.33726517361949904,0.9664911460840986,0.5301044211219497,0.40134566856159026,0.4568250886802747,0.4013456686291001,0.024822695035460994,99.97517730496453,0.409251471825063
29,0.30349769002320814,0.9567730156616086,0.55615819196471,0.41396131195728153,0.4746378906392339,0.4139613120269134,0.018912529550827423,99.98108747044917,0.4235492010092515
30,0.30984465101239633,1.084392371117359,0.5224753072923856,0.43599663575508885,0.47533418218607054,0.43599663582842724,0.02955082742316785,99.97044917257683,0.44255677039529023
31,0.3154028836561709,0.9555496966555005,0.5539215685040282,0.4181665264225119,0.4765642561838325,0.41816652649285113,0.02364066193853428,99.97635933806147,0.4284272497897393
32,0.29968925702328586,0.932968824303576,0.5477329686608036,0.40437342297655615,0.46525981707801695,0.4043734230445753,0.02009456264775414,99.97990543735224,0.41497056349873845
33,0.3110945494655444,0.9541524344079552,0.5592994900112392,0.4243902438310529,0.4825932354491584,0.424390243902439,0.02009456264775414,99.97990543735224,0.4396972245584525
34,0.29030137820815555,0.9469439145000208,0.5583688100922319,0.4191757778941672,0.47886192362007013,0.4191757779646762,0.024822695035460994,99.97517730496453,0.432296047098402
35,0.32355135633629195,0.976354634194147,0.5602357048100751,0.4317914212898584,0.4876978079467854,0.4317914213624895,0.02364066193853428,99.97635933806147,0.4449116904962153
36,0.2995852648603673,0.9402525514364243,0.5622563630905167,0.41244743474979856,0.4758388286684696,0.4124474348191758,0.018912529550827423,99.98108747044917,0.42825904121110175
